;Country;PIL
1;Australia;1,271
2;Austria;0,411
3;Bahrain;0,027
4;Belgium;0,501
5;Brazil;2,412
6;Canada;1,701
7;Channel Islands;0,030
8;Cyprus;0,026
9;Czech Republic;0,217
10;Denmark;0,333
11;EIRE;0,229
12;Finland;0,262
13;France;2,752
14;Germany;3,570
15;Greece;0,293
16;Hong Kong;0,238
17;Iceland;0,014
18;Israel;0,247
19;Italy;2,213
20;Japan;5,928
21;Lebanon;0,039
22;Lithuania;0,040
23;Malta;0,009
24;Netherlands;0,875
25;Norway;0,463
26;Poland;0,504
27;Portugal;0,241
28;RSA;0,395
29;Saudi Arabia;0,599
30;Singapore;0,259
31;Spain;1,450
32;Sweden;0,534
33;Switzerland;0,641
34;USA;15,265
35;United Arab Emirates;0,320
36;United Kingdom;2,567
